stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0283,Nabil Bank,27.6828614259285,85.3184559776392,27.6913755,85.2987395,2159.9,MISMATCH
S0284,Harihar Bhawan/ Krishna galli,27.6812082856123,85.317350907549,,,,NOT_FOUND
S0291,Naikap Bus Stop,27.689104,85.263889,27.6939803,85.2603489,644.6,MISMATCH
S0292,Bosigaun Chowk / Checkpost,27.690812,85.269415,,,,NOT_FOUND
S0295,Underpass East / Khasibazaar,27.695214,85.288912,,,,NOT_FOUND
S0296,Soalteemode East,27.696812,85.292541,,,,NOT_FOUND
S0304,Naya Baneshwor Chowk,27.691512,85.333065,,,,NOT_FOUND
S0312,Lokanthali South,27.671325,85.358214,,,,NOT_FOUND
S0313,Balkot Mod,27.668512,85.360124,,,,NOT_FOUND
S0314,Balkot Chowk,27.666418,85.36215,,,,NOT_FOUND
S0315,Gamcha Bus Stop,27.659812,85.365318,,,,NOT_FOUND
S0316,Biruwa / Dadhikot Mod,27.656214,85.367102,,,,NOT_FOUND
S0317,Dadhikot Health Post,27.653102,85.368845,,,,NOT_FOUND
S0319,Siddhapokhari,27.672102,85.415214,,,,NOT_FOUND
S0322,Nagadesh,27.676214,85.385102,,,,NOT_FOUND
S0323,Purano Thimi / Siddhikali Chowk,27.678125,85.378942,,,,NOT_FOUND
S0324,Balkumari Thimi,27.67631,85.373115,,,,NOT_FOUND
S0325,Gatthaghar,27.673981,85.366812,27.7062198,85.297609,7699.2,MISMATCH
S0326,Kausaltar,27.672102,85.361921,,,,NOT_FOUND
S0328,Jwagal Chowk,27.683512,85.321045,,,,NOT_FOUND
S0193,Lainchour Chowk Bus Stop,27.717048,85.316046,,,,NOT_FOUND
S0199,Byasi Stop,27.674804,85.427443,,,,NOT_FOUND
S0009,Dhokashi,27.670661,85.279034,27.670661,85.2790338,0.0,OK
S0085,Nagaon Dobato,27.674795,85.277757,27.6747945,85.2777568,0.1,OK
S0048,Bhatkepati,27.665215,85.254394,27.6604691,85.2510109,624.1,MISMATCH
S0072,Mandikhatar Stop,27.736293,85.347685,27.7362631,85.347674,3.5,OK
S0079,Sorhakhutte,27.718967,85.309619,27.7188423,85.3095996,14.0,OK
S0093,Bishalnagar Stop,27.721954,85.335587,27.7217784,85.335557,19.7,OK
S0232,Matatirtha Stop,27.680577,85.232858,27.6749394,85.2369873,747.2,MISMATCH
S0001,KU Bus Stand (26 Kilo),27.625178,85.540892,,,,NOT_FOUND
S0060,Chapagaun,27.592941,85.324403,27.6578462,85.3225256,7219.5,MISMATCH
S0047,Tinkune (Kirtipur side),27.676654,85.283543,,,,NOT_FOUND
S0019,Barahi Movies,27.665917,85.421493,,,,NOT_FOUND
S0337,Maharajgunj Chowk,27.736,85.3308,27.7353954,85.3319686,133.2,OK
S0338,Kamalpokhari,27.7107,85.3252,27.7101558,85.3239957,133.1,OK
S0339,Hattisar,27.7095,85.3238,27.7121205,85.3221141,335.3,OK
S0341,Durbar Marg,27.712,85.317,27.7070691,85.3165195,550.3,MISMATCH
S0342,Thamel,27.7154,85.3123,27.7166578,85.3127015,145.3,OK
S0344,Narayantar,27.724563,85.379906,27.7214444,85.3800328,347.0,OK
S0345,Khasi Bazaar,27.6895,85.2845,,,,NOT_FOUND
S0346,Syuchatar,27.70096,85.27484,27.6990324,85.2814676,686.8,MISMATCH
S0347,Tilganga,27.7145,85.3495,27.7045166,85.3510011,1119.9,MISMATCH
S0348,Battisputali,27.704,85.335,,,,NOT_FOUND
S0349,Macchapokhari,27.728,85.302,27.7344843,85.3034735,735.5,MISMATCH
S0350,Jayabageshwori,27.7165,85.352,27.7103268,85.3439822,1046.0,MISMATCH
